         1,         0,  1104,  1012,  4023,  1967,   348,  3828
         2,       250,  1246,   882,  4012,  2125,   269,  3750
         3,       500,  1393,   759,  3988,  2283,   201,  3660
         4,       750,  1545,   644,  3953,  2439,   144,  3561
         5,      1000,  1699,   539,  3905,  2593,    99,  3453
         6,      1250,  1855,   442,  3846,  2743,    66,  3336
         7,      1500,  2013,   356,  3775,  2889,    45,  3211
         8,      1750,  2171,   280,  3694,  3030,    36,  3078
         9,      2000,  2328,   215,  3602,  3165,    40,  2940
        10,      2250,  2484,   162,  3501,  3293,    56,  2795
        11,      2500,  2637,   120,  3391,  3414,    85,  2647
        12,      2750,  2786,    91,  3272,  3526,   125,  2494
        13,      3000,  2931,    73,  3145,  3629,   178,  2339
        14,      3250,  3070,    68,  3012,  3722,   242,  2182
        15,      3500,  3203,    75,  2872,  3805,   317,  2024
        16,      3750,  3329,    95,  2727,  3877,   403,  1866
        17,      4000,  3448,   127,  2578,  3938,   499,  1709
        18,      4250,  3557,   170,  2426,  3987,   604,  1554
        19,      4500,  3657,   226,  2270,  4024,   719,  1403
        20,      4750,  3748,   293,  2114,  4049,   841,  1255
        21,      5000,  3828,   370,  1956,  4062,   972,  1112
        22,      5250,  3897,   459,  1800,  4062,  1108,   975
        23,      5500,  3954,   557,  1644,  4050,  1251,   844
        24,      5750,  4000,   665,  1491,  4026,  1399,   721
        25,      6000,  4034,   781,  1341,  3989,  1550,   606
        26,      6250,  4056,   905,  1195,  3940,  1705,   500
        27,      6500,  4065,  1036,  1055,  3880,  1862,   404
        28,      6750,  4062,  1174,   920,  3808,  2020,   317
        29,      7000,  4046,  1318,   792,  3726,  2178,   241
        30,      7250,  4018,  1466,   672,  3633,  2335,   177
        31,      7500,  3978,  1617,   560,  3530,  2491,   124
        32,      7750,  3926,  1772,   457,  3419,  2644,    83
        33,      8000,  3863,  1928,   364,  3298,  2793,    53
        34,      8250,  3788,  2086,   281,  3170,  2938,    37
        35,      8500,  3702,  2243,   208,  3035,  3077,    32
        36,      8750,  3607,  2399,   147,  2894,  3210,    40
        37,      9000,  3502,  2553,    98,  2748,  3336,    60
        38,      9250,  3387,  2704,    60,  2597,  3454,    93
        39,      9500,  3265,  2852,    34,  2443,  3563,   138
        40,      9750,  3135,  2994,    21,  2287,  3663,   194
        41,     10000,  2998,  3131,    20,  2129,  3753,   262
        42,     10250,  2856,  3262,    32,  1970,  3832,   341
        43,     10500,  2708,  3385,    55,  1812,  3901,   431
        44,     10750,  2556,  3499,    91,  1656,  3958,   530
        45,     11000,  2401,  3606,   139,  1501,  4003,   639
        46,     11250,  2244,  3702,   199,  1351,  4036,   757
        47,     11500,  2086,  3789,   269,  1204,  4057,   882
        48,     11750,  1928,  3865,   351,  1063,  4066,  1015
        49,     12000,  1770,  3930,   443,   927,  4062,  1154
        50,     12250,  1614,  3983,   544,   799,  4046,  1299
        51,     12500,  1461,  4025,   655,   678,  4017,  1448
        52,     12750,  1311,  4055,   774,   566,  3976,  1601
        53,     13000,  1166,  4072,   901,   462,  3924,  1757
        54,     13250,  1026,  4077,  1035,   369,  3860,  1915
        55,     13500,   892,  4070,  1176,   286,  3784,  2073
        56,     13750,   766,  4050,  1321,   213,  3698,  2231
        57,     14000,   647,  4018,  1471,   152,  3602,  2389
        58,     14250,   537,  3974,  1624,   103,  3496,  2544
        59,     14500,   437,  3919,  1779,    66,  3381,  2696
        60,     14750,   346,  3852,  1937,    41,  3258,  2844
        61,     15000,   266,  3773,  2094,    28,  3127,  2987
        62,     15250,   197,  3685,  2252,    28,  2990,  3125
        63,     15500,   139,  3586,  2408,    40,  2847,  3256
        64,     15750,    93,  3478,  2561,    64,  2699,  3379
        65,     16000,    59,  3362,  2712,   101,  2547,  3495
        66,     16250,    38,  3237,  2858,   150,  2392,  3601
        67,     16500,    28,  3105,  2999,   211,  2234,  3698
        68,     16750,    32,  2967,  3134,   282,  2076,  3784
        69,     17000,    47,  2823,  3262,   365,  1917,  3860
        70,     17250,    75,  2675,  3383,   458,  1759,  3925
        71,     17500,   115,  2523,  3495,   561,  1603,  3978
        72,     17750,   168,  2368,  3598,   673,  1450,  4020
        73,     18000,   231,  2211,  3692,   794,  1300,  4049
        74,     18250,   306,  2053,  3775,   922,  1155,  4066
        75,     18500,   392,  1895,  3848,  1058,  1015,  4070
        76,     18750,   488,  1738,  3909,  1199,   882,  4062
        77,     19000,   593,  1584,  3959,  1346,   756,  4042
        78,     19250,   708,  1432,  3996,  1497,   638,  4009
