         1,         0,  1059,  1054,  4024,  2024,   319,  3802
         2,       250,  1200,   921,  4017,  2182,   244,  3720
         3,       500,  1345,   796,  3997,  2339,   179,  3627
         4,       750,  1495,   679,  3965,  2494,   127,  3524
         5,      1000,  1649,   570,  3922,  2647,    86,  3413
         6,      1250,  1805,   471,  3866,  2795,    57,  3292
         7,      1500,  1962,   381,  3799,  2940,    40,  3165
         8,      1750,  2121,   302,  3722,  3079,    36,  3030
         9,      2000,  2278,   233,  3633,  3211,    45,  2889
        10,      2250,  2434,   176,  3535,  3336,    65,  2743
        11,      2500,  2588,   131,  3427,  3454,    98,  2593
        12,      2750,  2739,    97,  3311,  3563,   143,  2439
        13,      3000,  2885,    76,  3187,  3662,   199,  2283
        14,      3250,  3027,    67,  3056,  3752,   268,  2125
        15,      3500,  3162,    70,  2918,  3831,   347,  1967
        16,      3750,  3290,    86,  2775,  3899,   436,  1809
        17,      4000,  3411,   114,  2627,  3955,   536,  1653
        18,      4250,  3524,   154,  2475,  4000,   644,  1499
        19,      4500,  3627,   206,  2321,  4033,   762,  1348
        20,      4750,  3721,   269,  2165,  4054,   887,  1202
        21,      5000,  3804,   343,  2008,  4062,  1020,  1061
        22,      5250,  3877,   428,  1851,  4058,  1159,   926
        23,      5500,  3938,   523,  1695,  4041,  1304,   798
        24,      5750,  3988,   628,  1541,  4013,  1453,   678
        25,      6000,  4025,   741,  1390,  3972,  1605,   566
        26,      6250,  4051,   863,  1243,  3919,  1761,   463
        27,      6500,  4064,   992,  1100,  3854,  1918,   370
        28,      6750,  4065,  1128,   964,  3779,  2077,   287
        29,      7000,  4053,  1270,   834,  3693,  2235,   216
        30,      7250,  4029,  1417,   711,  3596,  2392,   155
        31,      7500,  3993,  1567,   596,  3490,  2546,   106
        32,      7750,  3945,  1721,   490,  3376,  2698,    69
        33,      8000,  3885,  1877,   394,  3253,  2846,    44
        34,      8250,  3814,  2034,   308,  3122,  2989,    32
        35,      8500,  3732,  2192,   232,  2985,  3126,    32
        36,      8750,  3639,  2349,   167,  2842,  3256,    44
        37,      9000,  3537,  2504,   114,  2694,  3379,    69
        38,      9250,  3425,  2656,    72,  2542,  3494,   106
        39,      9500,  3305,  2805,    43,  2387,  3600,   155
        40,      9750,  3178,  2949,    26,  2230,  3697,   216
        41,     10000,  3043,  3088,    21,  2072,  3783,   288
        42,     10250,  2902,  3220,    28,  1914,  3859,   371
        43,     10500,  2756,  3346,    48,  1756,  3923,   464
        44,     10750,  2605,  3463,    80,  1601,  3976,   567
        45,     11000,  2451,  3572,   124,  1447,  4017,   679
        46,     11250,  2295,  3672,   180,  1298,  4046,   799
        47,     11500,  2137,  3762,   247,  1153,  4062,   928
        48,     11750,  1978,  3841,   325,  1014,  4066,  1063
        49,     12000,  1820,  3910,   414,   881,  4058,  1204
        50,     12250,  1663,  3967,   512,   755,  4037,  1351
        51,     12500,  1509,  4013,   620,   638,  4004,  1502
        52,     12750,  1358,  4046,   737,   529,  3959,  1656
        53,     13000,  1211,  4068,   861,   429,  3902,  1813
        54,     13250,  1069,  4077,   993,   339,  3834,  1971
        55,     13500,   934,  4073,  1131,   260,  3755,  2130
        56,     13750,   805,  4058,  1275,   192,  3665,  2288
        57,     14000,   684,  4030,  1423,   135,  3565,  2444
        58,     14250,   571,  3989,  1575,    90,  3456,  2599
        59,     14500,   467,  3938,  1730,    57,  3338,  2750
        60,     14750,   373,  3874,  1887,    36,  3212,  2896
        61,     15000,   290,  3799,  2045,    28,  3079,  3038
        62,     15250,   217,  3714,  2202,    32,  2940,  3173
        63,     15500,   156,  3619,  2359,    49,  2795,  3301
        64,     15750,   106,  3514,  2513,    78,  2645,  3422
        65,     16000,    68,  3400,  2664,   119,  2492,  3534
        66,     16250,    42,  3278,  2812,   172,  2336,  3638
        67,     16500,    29,  3148,  2955,   236,  2178,  3731
        68,     16750,    28,  3012,  3092,   312,  2019,  3814
        69,     17000,    40,  2869,  3222,   398,  1861,  3886
        70,     17250,    64,  2722,  3345,   495,  1703,  3947
        71,     17500,   100,  2571,  3460,   601,  1548,  3996
        72,     17750,   149,  2417,  3567,   717,  1396,  4033
        73,     18000,   209,  2260,  3663,   840,  1248,  4058
        74,     18250,   280,  2103,  3750,   971,  1105,  4070
        75,     18500,   363,  1945,  3826,  1108,   967,  4070
        76,     18750,   455,  1788,  3891,  1252,   836,  4057
        77,     19000,   558,  1632,  3944,  1400,   713,  4032
        78,     19250,   670,  1479,  3986,  1552,   598,  3995
        79,     19500,   790,  1330,  4015,  1708,   491,  3946
        80,     19750,   918,  1186,  4033,  1865,   395,  3885
        81,     20000,  1053,  1046,  4038,  2024,   308,  3813
        82,     20250,  1195,   914,  4030,  2182,   233,  3730
        83,     20500,  1341,   788,  4010,  2340,   168,  3637
        84,     20750,  1492,   670,  3978,  2497,   115,  3533
        85,     21000,  1646,   560,  3934,  2650,    74,  3421
        86,     21250,  1803,   460,  3878,  2800,    45,  3300
        87,     21500,  1962,   370,  3811,  2945,    28,  3171
        88,     21750,  2121,   291,  3733,  3085,    24,  3036
        89,     22000,  2279,   222,  3644,  3218,    33,  2894
        90,     22250,  2436,   164,  3545,  3344,    53,  2747
        91,     22500,  2591,   119,  3437,  3462,    87,  2596
        92,     22750,  2743,    85,  3320,  3571,   132,  2441
        93,     23000,  2890,    64,  3195,  3671,   189,  2284
        94,     23250,  3032,    55,  3063,  3761,   257,  2125
        95,     23500,  3168,    58,  2924,  3841,   337,  1966
        96,     23750,  3297,    74,  2780,  3909,   427,  1808
        97,     24000,  3419,   102,  2632,  3966,   527,  1651
        98,     24250,  3532,   142,  2479,  4011,   636,  1496
        99,     24500,  3636,   194,  2324,  4044,   755,  1345
       100,     24750,  3730,   258,  2167,  4065,   881,  1198
       101,     25000,  3813,   333,  2009,  4073,  1014,  1056
       102,     25250,  3886,   418,  1851,  4069,  1154,   920
       103,     25500,  3948,   514,  1694,  4052,  1299,   791
       104,     25750,  3998,   619,  1539,  4023,  1449,   670
       105,     26000,  4036,   733,  1388,  3982,  1603,   558
       106,     26250,  4061,   856,  1240,  3929,  1759,   455
       107,     26500,  4075,   986,  1097,  3864,  1918,   361
       108,     26750,  4075,  1122,   959,  3788,  2077,   278
       109,     27000,  4064,  1265,   829,  3701,  2236,   206
       110,     27250,  4039,  1412,   705,  3605,  2393,   145
       111,     27500,  4003,  1564,   590,  3498,  2549,    96
       112,     27750,  3955,  1718,   484,  3383,  2702,    59
       113,     28000,  3894,  1875,   387,  3259,  2850,    34
       114,     28250,  3823,  2033,   300,  3128,  2994,    21
       115,     28500,  3740,  2191,   224,  2990,  3131,    21
       116,     28750,  3647,  2349,   159,  2846,  3263,    34
       117,     29000,  3544,  2504,   105,  2698,  3386,    59
       118,     29250,  3432,  2658,    64,  2545,  3502,    96
       119,     29500,  3312,  2807,    34,  2389,  3608,   145
       120,     29750,  3183,  2952,    17,  2231,  3705,   206
       121,     30000,  3048,  3091,    12,  2072,  3792,   279
       122,     30250,  2906,  3225,    20,  1913,  3868,   362
       123,     30500,  2759,  3351,    39,  1755,  3932,   456
       124,     30750,  2608,  3469,    72,  1598,  3985,   559
       125,     31000,  2453,  3578,   116,  1445,  4026,   672
       126,     31250,  2296,  3679,   172,  1294,  4055,   793
       127,     31500,  2137,  3769,   239,  1149,  4072,   922
       128,     31750,  1978,  3849,   318,  1009,  4076,  1058
       129,     32000,  1819,  3918,   407,   876,  4068,  1200
       130,     32250,  1662,  3975,   506,   749,  4047,  1348
       131,     32500,  1507,  4021,   615,   631,  4014,  1499
       132,     32750,  1355,  4054,   732,   521,  3968,  1654
       133,     33000,  1207,  4076,   857,   421,  3911,  1812
       134,     33250,  1065,  4085,   989,   331,  3843,  1970
       135,     33500,   929,  4081,  1128,   251,  3763,  2130
       136,     33750,   799,  4065,  1272,   183,  3673,  2289
       137,     34000,   678,  4037,  1422,   126,  3572,  2446
       138,     34250,   564,  3997,  1574,    81,  3462,  2601
       139,     34500,   460,  3945,  1730,    48,  3344,  2753
       140,     34750,   366,  3881,  1887,    27,  3218,  2900
       141,     35000,   282,  3806,  2046,    19,  3084,  3042
       142,     35250,   209,  3720,  2204,    23,  2944,  3178
       143,     35500,   147,  3624,  2361,    40,  2798,  3307
       144,     35750,    97,  3519,  2516,    69,  2648,  3428
       145,     36000,    59,  3404,  2668,   110,  2494,  3541
       146,     36250,    34,  3282,  2816,   163,  2337,  3645
       147,     36500,    20,  3152,  2960,   228,  2179,  3738
       148,     36750,    20,  3015,  3097,   304,  2019,  3822
