"Ia","Ib","Ic","Ua","Ub","Uc"
"209.558","48.351","196.469","34813.929","36530.946","67420.999"
"207.966","47.41","198.367","33976.278","37356.709","67398.098"
"206.33","46.879","200.213","33135.886","38176.957","67359.192"
"204.66","46.557","202.021","32293.123","38991.42","67304.345"
"202.939","46.449","203.779","31448.422","39799.881","67233.603"
"201.169","46.664","205.501","30601.502","40601.511","67146.946"
"199.351","47.196","207.177","29755.471","41396.739","67044.473"
"197.497","47.931","208.805","28909.157","42184.247","66926.144"
"195.589","48.856","210.384","28064.193","42964.425","66791.981"
"193.629","50.161","211.911","27221.364","43736.613","66641.967"
"191.633","51.625","213.387","26381.566","44500.689","66476.174"
"189.582","53.326","214.824","25546.812","45256.014","66294.749"
"187.465","55.152","216.217","24718.216","46002.454","66097.636"
"185.321","57.176","217.564","23897.05","46739.387","65884.863"
"183.131","59.294","218.853","23084.757","47466.666","65656.561"
"180.914","61.574","220.09","22282.974","48184.198","65412.805"
"178.649","63.92","221.274","21494.799","48891.951","65153.579"
"176.358","66.398","222.408","20721.049","49589.457","64878.992"
"174.037","68.995","223.482","19965.455","50276.191","64589.048"
"171.664","71.628","224.499","19229.307","50952.504","64283.889"
"169.262","74.289","225.462","18518.58","51617.56","63963.538"
"166.829","77.036","226.364","17835.216","52271.23","63628.168"
"164.342","79.799","227.218","17183.043","52913.448","63277.819"
"161.826","82.632","228.025","16566.286","53544.213","62912.781"
"159.258","85.471","228.78","15991.322","54162.76","62532.868"
"156.666","88.368","229.486","15463.222","54769.75","62138.314"
"154.024","91.263","230.14","14985.432","55364.2","61729.294"
"151.362","94.153","230.738","14565.293","55946.341","61305.808"
"148.68","97.085","231.277","14206.216","56515.854","60868.058"
"145.976","100.007","231.76","13915.32","57072.361","60415.92"
"143.25","102.964","232.186","13697.165","57616.128","59949.91"
"140.472","105.908","232.552","13553.289","58146.591","59470.047"
"137.677","108.883","232.863","13488.35","58663.998","58976.582"
"134.867","111.843","233.118","13505.7","59167.825","58469.708"
"132.04","114.743","233.317","13600.724","59657.985","57949.378"
"129.198","117.66","233.462","13773.878","60134.469","57415.619"
"126.339","120.555","233.552","14022.158","60597.039","56868.527"
"123.466","123.425","233.583","14341.507","61045.4","56308.687"
"120.578","126.307","233.555","14725.096","61479.762","55736.057"
"117.677","129.166","233.471","15169.7","61899.723","55150.438"
"114.725","132.0","233.332","15669.842","62305.488","54552.778"
"111.809","134.807","233.136","16218.243","62696.695","53942.468"
"108.885","137.586","232.883","16811.53","63073.293","53320.256"
"105.954","140.368","232.572","17443.058","63435.062","52685.893"
"103.019","143.126","232.199","18108.356","63781.964","52040.445"
"100.081","145.858","231.768","18804.93","64114.04","51383.206"
"97.194","148.564","231.287","19527.515","64430.968","50714.996"
"94.253","151.243","230.751","20271.356","64732.873","50035.505"
"91.373","153.894","230.162","21034.984","65019.479","49345.263"
"88.443","156.516","229.518","21815.801","65290.713","48644.737"
"85.587","159.111","228.821","22611.515","65546.586","47933.986"
"82.745","161.65","228.067","23418.843","65787.194","47213.491"
"79.924","164.18","227.262","24236.011","66012.177","46483.296"
"77.13","166.683","226.401","25062.633","66221.524","45743.504"
"74.368","169.159","225.49","25896.209","66415.288","44994.27"
"71.718","171.585","224.525","26734.427","66593.289","44236.659"
"69.115","173.977","223.513","27577.253","66755.453","43470.253"
"66.567","176.316","222.453","28423.756","66901.789","42695.247"
"64.085","178.64","221.343","29271.132","67032.259","41912.366"
"61.678","180.915","220.178","30119.54","67146.897","41122.287"
"59.451","183.156","218.972","30968.317","67245.702","40325.133"
"57.328","185.345","217.713","31816.894","67328.614","39521.609"
"55.421","187.498","216.4","32663.023","67395.631","38711.286"
"53.548","189.598","215.034","33506.994","67446.732","37895.015"
"51.826","191.68","213.608","34348.388","67481.839","37073.023"
"50.271","193.715","212.136","35186.855","67500.912","36246.208"
"49.015","195.7","210.618","36021.324","67503.996","35414.173"
"47.963","197.632","209.057","36851.478","67491.147","34577.972"
"47.129","199.525","207.459","37676.318","67462.365","33737.962"
"46.646","201.383","205.811","38495.543","67417.66","32895.271"
"46.525","203.195","204.116","39308.904","67357.012","32050.297"
"46.647","204.957","202.374","40116.209","67280.355","31203.507"
"47.011","206.668","200.596","40916.652","67187.765","30356.237"
"47.611","208.325","198.779","41710.04","67079.3","29508.206"
"48.439","209.927","196.907","42496.229","66955.045","28660.973"
"49.596","211.487","194.983","43274.518","66814.953","27815.267"
"50.95","212.997","193.011","44044.159","66659.162","26971.917"
"52.483","214.456","191.004","44806.099","66487.626","26131.861"
"54.179","215.864","188.947","45558.715","66300.384","25297.178"
"56.123","217.221","186.858","46302.881","66097.412","24469.036"
"58.193","218.525","184.731","47037.589","65878.786","23648.764"
"60.374","219.779","182.552","47762.714","65644.506","22837.87"
"62.745","220.969","180.338","48477.679","65394.684","22039.271"
"65.109","222.114","178.073","49182.345","65129.34","21254.913"
"67.631","223.21","175.777","49876.637","64848.621","20487.013"
"70.213","224.258","173.447","50560.534","64552.568","19738.084"
"72.846","225.25","171.083","51233.15","64241.363","19009.522"
"75.522","226.191","168.682","51895.229","63915.129","18305.963"
"78.233","227.083","166.227","52545.612","63573.858","17630.971"
"81.042","227.918","163.74","53184.557","63217.626","16990.151"
"83.876","228.703","161.222","53812.09","62846.764","16386.242"
"86.729","229.43","158.671","54427.48","62461.214","15825.774"
"89.659","230.105","156.089","55030.61","62060.999","15312.066"
"92.541","230.723","153.474","55621.428","61646.219","14852.339"
"95.487","231.288","150.827","56199.568","61217.295","14452.082"
"98.382","231.798","148.148","56764.977","60774.192","14114.615"
"101.331","232.256","145.438","57317.667","60316.955","13846.907"
"104.28","232.662","142.697","57857.372","59845.847","13653.254"
"107.174","233.012","139.928","58383.763","59361.074","13536.972"
"110.109","233.305","137.13","58897.116","58862.616","13500.148"
"113.038","233.539","134.305","59396.94","58350.702","13543.461"
"115.958","233.714","131.455","59883.179","57825.135","13663.973"
"118.867","233.832","128.611","60355.545","57286.308","13863.805"
"121.766","233.896","125.739","60813.988","56734.751","14135.316"
"124.652","233.906","122.842","61258.241","56170.174","14476.285"
"127.524","233.859","119.954","61688.263","55592.925","14881.7"
"130.383","233.753","117.04","62104.088","55003.063","15346.185"
"133.226","233.593","114.065","62505.293","54401.194","15864.254"
"136.055","233.378","111.112","62892.038","53786.985","16428.704"
"138.868","233.105","108.14","63263.944","53160.556","17036.236"
"141.667","232.773","105.153","63621.165","52522.639","17680.355"
"144.414","232.384","102.196","63963.604","51872.93","18358.348"
"147.139","231.934","99.225","64291.105","51212.194","19064.648"
"149.843","231.424","96.29","64603.451","50540.404","19795.72"
"152.527","230.859","93.345","64900.797","49857.276","20548.409"
"155.192","230.24","90.442","65182.899","49163.699","21319.91"
"157.806","229.571","87.484","65449.715","48459.353","22107.74"
"160.397","228.849","84.581","65701.09","47745.168","22908.414"
"162.934","228.077","81.739","65937.002","47020.787","23720.01"
"165.443","227.252","78.962","66157.331","46287.178","24542.033"
"167.926","226.379","76.135","66361.903","45543.947","25371.828"
"170.356","225.456","73.391","66550.812","44792.107","26208.076"
"172.757","224.478","70.738","66723.913","44030.793","27048.525"
"175.132","223.456","68.117","66881.159","43260.74","27894.222"
